id,test_date,modelzoo_name,device_type,gpu_count,driver_version,sdk_version,vbios_version,pytorch_metax_version,pytorch_opensource_version,evaluation_framework,framework_metax_version,framework_version,hardware,pd_deployment_mode,model_name,model_params_precision,parallel_type_all,input_len,output_len,concurrency,num_prompts,request_rate,prefill_config,decoding_config,decode_command,prefill_command,minilb_command,decode_env,prefill_env,minilb_env,ttft,ttft_p90,ttft_p95,ttft_p99,tpot,tpot_p90,tpot_p95,tpot_p99,duration,request_per_second,real_concurrency,itl,input_tps,output_tps,total_tps,prefill_tgs,decode_tgs,median_ttft,median_tpot,max_itl,peak_tps,dataset,docker_image_name,command,server_command,client_command,ENV,misc_data
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",64512,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2791, ""createdate"": ""2026-06-18T09:01:29.628672+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""36.87"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",64512,1024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2792, ""createdate"": ""2026-06-18T09:01:29.629163+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""41.7"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",64512,1024,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2793, ""createdate"": ""2026-06-18T09:01:29.629660+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""45.61"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",64512,1024,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2794, ""createdate"": ""2026-06-18T09:01:29.630161+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""75.42"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",64512,1024,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2795, ""createdate"": ""2026-06-18T09:01:29.630659+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""143.44"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": ""2"", ""pp"": null}",64512,1024,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2796, ""createdate"": ""2026-06-18T09:01:29.631351+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""280.19"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",3072,1024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2797, ""createdate"": ""2026-06-18T09:01:29.631875+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""27.31"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",3072,1024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2798, ""createdate"": ""2026-06-18T09:01:29.632421+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""48.16"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",3072,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2799, ""createdate"": ""2026-06-18T09:01:29.632899+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""81.22"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",3072,1024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2800, ""createdate"": ""2026-06-18T09:01:29.633369+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""141.59"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",3072,1024,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2801, ""createdate"": ""2026-06-18T09:01:29.633832+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""215.92"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",3072,1024,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2802, ""createdate"": ""2026-06-18T09:01:29.634288+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""320.06"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",3072,1024,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2803, ""createdate"": ""2026-06-18T09:01:29.634754+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""435.34"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",3072,1024,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2804, ""createdate"": ""2026-06-18T09:01:29.635206+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""804.83"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",64512,1024,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2805, ""createdate"": ""2026-06-18T09:01:29.635605+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""20.34"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",64512,1024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2806, ""createdate"": ""2026-06-18T09:01:29.636019+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""26.06"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",64512,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2807, ""createdate"": ""2026-06-18T09:01:29.636431+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""28.96"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",64512,1024,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2808, ""createdate"": ""2026-06-18T09:01:29.636844+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""35.96"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",64512,1024,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2809, ""createdate"": ""2026-06-18T09:01:29.637255+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""40.44"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",64512,1024,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2810, ""createdate"": ""2026-06-18T09:01:29.637664+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""45.14"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",64512,1024,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2811, ""createdate"": ""2026-06-18T09:01:29.638099+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""80.64"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
,2026/5/31,modelzoo.llm.inference,C600,32,3.7.1.3,3.7.1.6,2.1.6.0,3.7.1.8,2.8.0,vLLM(PD一体),3.7.1.2,0.21.0,,PD一体,DeepSeek-V4-Pro-W8A8,int8,"{""tp"": ""16"", ""dp"": null, ""pp"": ""2""}",64512,1024,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""id"": 2812, ""createdate"": ""2026-06-18T09:01:29.638517+00:00"", ""testtype"": ""throughput"", ""precision"": ""bf16"", ""decode_tps"": ""150.48"", ""os"": ""ubuntu22.04"", ""kernel"": ""5.15.0-119"", ""ip"": ""10.2.185.84"", ""name"": ""vLLM""}"
